target,audspecRasta_lengthL1norm_sma_upleveltime25,pcm_fftMag_psySharpness_sma_leftctime,mfcc_sma[5]_upleveltime75,mfcc_sma[10]_percentile1.0,mfcc_sma[12]_skewness,pcm_fftMag_fband1000-4000_sma_de_quartile2,audSpec_Rfilt_sma[12]_peakMeanRel,audSpec_Rfilt_sma[22]_meanFallingSlope,pcm_fftMag_spectralSlope_sma_qregc3,mfcc_sma[5]_qregc2,audSpec_Rfilt_sma_de[5]_peakDistStddev,audSpec_Rfilt_sma_de[11]_peakMeanRel,audSpec_Rfilt_sma_de[20]_stddevFallingSlope,mfcc_sma_de[2]_meanFallingSlope,mfcc_sma_de[5]_minRangeRel
1,0.01826869,0.502809,0.04407636,-24.769245,-0.16369674,-2.87E-05,2.5220213,10.113327,0.89564615,0.008029014,0.66753095,-19.999996,10.314767,77.34512,0.6182272
1,0.025264738,0.5057941,0.073768444,-7.2191567,-1.1986365,-8.42E-08,2.0194046,9.84616,0.91664183,-0.00174794,0.9492908,-20,6.990242,50.075363,0.53781027
1,0.13481887,0.5080274,0.006221227,-24.941284,-0.2007071,-2.19E-06,1.7366333,10.619315,0.96975493,-0.0018438,0.1660751,20,12.461939,61.597393,0.54442847
1,0.13350785,0.49617553,0.25130785,-29.303087,-0.4567708,-1.98E-07,2.2516875,9.5250435,0.89264333,-0.00366233,0.49065304,20,5.313199,90.999405,0.4816809
1,0.012712942,0.5011439,0.25679797,-21.340378,0.08970345,-3.21E-07,1.6931412,8.62191,0.99008334,0.002474297,0.2480778,20,10.04413,57.191452,0.59188
1,0.06942304,0.5042794,0.17123054,-26.593328,-0.4314085,-6.39E-07,1.9056966,7.518155,0.98667103,0.001674614,1.859357,-20,6.2268558,58.149902,0.6955252
1,0.049934298,0.5109777,0.40967923,-27.93848,-0.5418219,-7.18E-07,1.8895677,10.518127,0.9915989,-0.003143449,0.8176625,20,9.585235,72.80066,0.5494192
1,0.06896552,0.5133618,0.032059845,-39.6053,0.61417264,-2.96E-06,2.5456574,15.454815,0.9965071,-0.001247595,1.1792022,20,15.415326,75.623566,0.5380846
1,0.077651754,0.5080374,0.03812134,-22.250381,-0.40372413,-3.71E-07,2.5807295,10.73921,0.95829386,0.003587408,1.0510887,20,8.970074,71.72894,0.61986566
1,0.058534145,0.5102959,0.012753189,-27.047626,-0.27617964,-1.33E-07,1.6828994,9.054739,0.98627454,-0.001221495,3.0347967,-20,5.5307374,69.50209,0.49253413
1,0.0044,0.50339866,0.026578737,-15.362146,0.07002962,-3.15E-07,1.8516583,15.057217,0.9829392,-0.005792903,0.85065013,20,9.972653,58.2919,0.6214729
1,0.014610389,0.49772874,0.39559016,-11.9861,-0.38162965,-3.94E-08,1.729371,4.274045,0.93163395,0.003021499,0.24509001,-20,13.372168,55.957817,0.63262063
1,0.0373706,0.50300145,0.08588576,-18.998804,-0.43584463,-8.93E-06,1.8682622,11.45532,0.9515471,0.002453795,4.2145452,-20,8.26277,57.73493,0.63416064
1,0.023418548,0.5021455,0.2945346,-30.114307,-0.15949364,-2.71E-06,3.2805035,19.025475,0.9735943,0.000932932,1.5776691,20,22.44858,79.74142,0.65937847
1,0.08771784,0.49954146,0.34641993,-24.836767,-0.20364742,-1.62E-06,2.5793524,5.0027814,0.9880922,0.001673353,1.5679982,-20,5.6479,66.43622,0.6774625
1,0.022365246,0.51214415,0.006753497,-29.619074,-0.6496361,-5.31E-07,2.4076815,15.589696,0.9907975,-0.001117283,1.4654971,-20,32.74267,62.29074,0.43220526
1,0.013571249,0.5046471,0.24704996,-22.54427,-0.30280378,-4.88E-07,2.5186522,11.77799,0.96588564,0.004185287,1.5666897,-20,21.717865,72.49481,0.6071472
1,0.34538496,0.5155121,0.18726115,-29.657553,-0.3672976,-1.01E-06,2.0602117,15.067056,0.8698349,-0.02306031,0.44355595,-19.99998,10.146093,92.16734,0.5595237
1,0.057366796,0.50295955,0.015837293,-20.645054,-1.2759601,-6.05E-08,1.808427,7.9166045,0.96895266,0.000147057,4.2131977,-20,7.2461357,62.080627,0.61270887
1,0.08269441,0.5047445,0.07825611,-25.161356,-0.810808,-6.52E-06,2.2558196,7.5163035,1.0197618,-0.001710331,1.2513127,-20,6.192349,75.16115,0.51503086
1,0.0734685,0.50664634,0.0224352,-30.435793,-0.53955275,-7.50E-06,2.3186467,16.375208,0.8838498,-0.000411497,0.9844062,20,13.707655,90.05822,0.6664435
1,0.12655166,0.5151451,0.06771819,-28.445091,-0.4314523,-1.27E-06,1.9353052,14.21742,0.98172003,0.002668938,0.32427424,-20,10.754324,91.389786,0.6343071
1,0.15885417,0.49839777,0.31487787,-29.858404,-0.15684643,-3.84E-06,2.4032652,14.513621,0.9669222,0.000233931,0.5529732,-20,9.517649,82.69713,0.67684686
1,0.020587718,0.50184727,0.039138082,-31.086903,-0.10007762,-1.92E-08,2.380125,13.90276,0.99480814,0.000236075,1.3154981,-20,11.817618,61.293953,0.5092146
1,0.003222342,0.5190036,0.22644344,-26.648182,-0.64090806,-4.60E-09,2.0740845,3.435665,0.99673045,0.00792361,1.7441276,20,22.389122,58.77952,0.5974604
1,0.2692475,0.5071739,0.041938286,-28.668297,0.47422197,-1.03E-07,2.3085809,6.9677587,0.98384833,-0.003152584,0.49397284,-20,3.4491243,77.357445,0.6508544
1,0.002033111,0.5065331,0.45079827,-36.119316,-0.5255019,-1.72E-05,8.166171,12.620836,0.95665413,0.003648182,4.9599895,-20,20.54118,56.598293,0.62337124
1,0.99244875,0.5199497,0.026051024,-28.952328,-0.65184736,-5.07E-06,1.7586012,12.143934,0.96825933,0.007230122,0.2834794,-19.999897,10.780561,59.22016,0.553401
1,0.20800431,0.49802655,0.036226686,-25.180847,-0.3385235,-1.02E-06,2.443108,12.673111,0.9399211,-0.002712185,0.3757147,20,6.109301,113.26539,0.6550991
1,0.2112577,0.5178477,0.09386536,-36.974525,-0.6394722,-6.50E-06,2.413346,11.090933,0.8810827,0.006208538,0.95941114,20,11.248631,80.18481,0.5872097
1,0.07867036,0.5016611,0.027670171,-38.115433,-0.3676738,-1.01E-07,2.3166177,10.672069,0.95176727,-0.001182557,0.5439454,-20,8.68831,62.239094,0.48775336
1,0.16651404,0.5022887,0.21110433,-25.34171,-0.18502271,-3.69E-06,2.2619057,8.373853,0.9419894,0.007978892,0.89830834,-20,6.753096,96.4719,0.57668227
1,0.04172057,0.5072214,0.0950431,-21.354397,0.13375027,-1.45E-06,2.4299393,13.021077,0.95499766,0.005756709,0.882885,20,12.313023,75.12418,0.63824683
1,0.3968254,0.4949513,0.068312906,-34.554886,0.004742405,-1.69E-05,2.0752587,11.238968,0.9838241,0.001396254,0.7370594,20,9.138111,94.832886,0.6880355
1,0.03557781,0.5024371,0.020018438,-33.077,-0.051937096,-9.17E-07,2.6991982,14.026076,0.9535794,-0.002187135,0.78141373,-20,8.083613,73.30784,0.5954358
1,0.10118939,0.5108855,0.023321748,-31.990742,-0.39242542,-2.89E-06,2.249296,22.932041,0.96895194,0.002779377,0.498104,20,25.611876,88.1827,0.6311499
1,0.21706477,0.50036925,0.011444746,-29.177456,-0.4137006,-1.41E-06,2.5056174,12.832188,0.96359205,-0.000163726,0.74135625,-20,10.131505,69.31738,0.53725773
1,0.17222123,0.5099946,0.015661566,-35.145763,-0.40197256,-1.22E-05,1.956349,9.782241,0.89397264,0.000592679,0.3719639,-20,9.410529,72.16867,0.7010455
1,0.20221402,0.5030743,0.14900418,-41.351273,-0.36630255,-2.78E-06,2.470307,13.092467,0.9129988,-0.00031035,0.5686933,20,12.566382,85.20591,0.63299084
1,0.003039052,0.511317,0.4501139,-30.83992,-0.58320713,-3.33E-07,2.2378085,9.263922,0.9958185,-0.001660968,1.1715078,20,19.070152,59.9881,0.6919639
1,0.15347019,0.51749074,0.123266265,-25.67802,-0.41926536,-1.09E-06,2.0715134,15.289094,0.91874355,0.00176175,0.82387334,-20,7.6952624,81.58426,0.67404556
1,0.00392787,0.49705514,0.02765388,-40.96655,-0.13597019,-2.29E-06,10.696411,16.636158,0.9440255,0.006558024,10.996979,-20,58.58744,74.19635,0.67390597
1,0.07735426,0.4947696,0.1932271,-30.106815,0.10102908,-2.52E-07,2.815345,11.963453,0.94942176,0.00244463,1.5073965,-20,6.150275,68.44022,0.60019994
1,0.003280091,0.52409464,0.027223488,-34.84041,-0.20986077,-1.03E-06,2.3164473,16.221548,0.9864192,-0.003050648,1.6350015,20,22.312567,67.97174,0.58554196
1,0.23068893,0.5006954,0.08373871,-23.741566,-0.37129775,-2.02E-05,1.8221908,8.102211,0.95321167,0.010349818,0.3917783,19.976776,6.6282415,71.03346,0.65671027
